Unnamed: 0,time,bid,ask,last,volume,time_msc,flags,volume_real,Bullish Fractals,Bearish Fractals
70,2024-12-22 05:30:00+05:30,107.75,107.788,107.679,4637283915759408382,2650,34,0.0,,
71,2024-12-23 05:30:00+05:30,107.769,108.268,107.666,4637305941176335991,45821,29,0.0,,
72,2024-12-24 05:30:00+05:30,108.088,108.288,108.026,4637307630026196255,34415,29,0.0,,
73,2024-12-25 05:30:00+05:30,108.008,108.11,107.995,4637305448595126747,2349,68,0.0,,
74,2024-12-26 05:30:00+05:30,108.089,108.275,107.996,4637303407901545595,30797,59,0.0,,
75,2024-12-27 05:30:00+05:30,108.045,108.176,107.834,4637295104389732631,38346,59,0.0,,
76,2024-12-29 05:30:00+05:30,107.887,107.952,107.872,4637296300658383651,2087,73,0.0,,
77,2024-12-30 05:30:00+05:30,107.943,108.349,107.706,4637301437576708620,50387,60,0.0,,
78,2024-12-31 05:30:00+05:30,108.028,108.558,107.834,4637330992449263239,47705,60,0.0,,
79,2025-01-01 05:30:00+05:30,108.382,108.505,108.379,4637335003467681366,2506,67,0.0,,
80,2025-01-02 05:30:00+05:30,108.495,109.531,108.235,4637383557901163954,69316,59,0.0,,
81,2025-01-03 05:30:00+05:30,109.185,109.207,108.847,4637359984371864437,41446,60,0.0,,
82,2025-01-05 05:30:00+05:30,108.854,108.932,108.824,4637364769446468518,2489,87,0.0,,
83,2025-01-06 05:30:00+05:30,108.932,109.039,107.716,4637319311237729747,86544,59,0.0,,
84,2025-01-07 05:30:00+05:30,108.27,108.679,107.815,4637346966154191569,66038,55,0.0,,
85,2025-01-08 05:30:00+05:30,108.666,109.354,108.521,4637369624889816777,66901,59,0.0,,
86,2025-01-09 05:30:00+05:30,108.996,109.349,108.908,4637382080157536223,45601,60,0.0,,
87,2025-01-10 05:30:00+05:30,109.164,109.964,109.04,4637409453599021335,75885,60,0.0,,
88,2025-01-12 05:30:00+05:30,109.587,109.646,109.572,4637414731254834659,2649,55,0.0,,
89,2025-01-13 05:30:00+05:30,109.642,110.151,109.235,4637397068700046066,70121,60,0.0,,109.642
90,2025-01-14 05:30:00+05:30,109.378,109.734,109.109,4637382291263768756,73160,60,0.0,,
91,2025-01-15 05:30:00+05:30,109.167,109.384,108.559,4637370328577258553,70132,60,0.0,,
92,2025-01-16 05:30:00+05:30,109.008,109.374,108.793,4637365824977631183,71568,60,0.0,,
93,2025-01-17 05:30:00+05:30,108.942,109.393,108.797,4637394042844046426,59302,60,0.0,,
94,2025-01-19 05:30:00+05:30,109.224,109.434,109.219,4637390665144325898,2929,75,0.0,,
95,2025-01-20 05:30:00+05:30,109.301,109.322,107.88,4637296933977081250,93633,60,0.0,,
96,2025-01-21 05:30:00+05:30,107.953,108.767,107.834,4637307841132428788,96147,56,0.0,,
97,2025-01-22 05:30:00+05:30,108.109,108.257,107.715,4637316215012985930,58922,60,0.0,,
98,2025-01-23 05:30:00+05:30,108.229,108.505,107.889,4637307559657452077,65683,60,0.0,,
