,time,bid,ask,last,volume,time_msc,flags,volume_real
507,2023-06-30 05:30:00+05:30,103.323,103.535,102.734,4636941782925216580,27433,22,0.0
508,2023-07-02 05:30:00+05:30,102.908,102.947,102.877,4636944245831262798,1375,13,0.0
509,2023-07-03 05:30:00+05:30,102.941,103.265,102.731,4636945160624937107,24279,3,0.0
510,2023-07-04 05:30:00+05:30,102.954,103.1,102.87,4636952338236843229,18013,13,0.0
511,2023-07-05 05:30:00+05:30,103.056,103.38,102.941,4636971619272747909,25325,12,0.0
512,2023-07-06 05:30:00+05:30,103.33,103.568,102.906,4636954660405401092,30958,2,0.0
513,2023-07-07 05:30:00+05:30,103.089,103.177,102.213,4636895902504012743,28128,22,0.0
514,2023-07-09 05:30:00+05:30,102.298,102.329,102.254,4636897661722617184,1668,14,0.0
515,2023-07-10 05:30:00+05:30,102.279,102.555,101.904,4636871906762248159,26522,14,0.0
516,2023-07-11 05:30:00+05:30,101.912,101.962,101.579,4636849107289134596,26034,5,0.0
517,2023-07-12 05:30:00+05:30,101.589,101.602,100.486,4636771631301794988,30629,8,0.0
518,2023-07-13 05:30:00+05:30,100.485,100.6,99.705,4636720754699754537,29866,0,0.0
519,2023-07-14 05:30:00+05:30,99.762,100.008,99.564,4636733280336218161,27867,23,0.0
520,2023-07-16 05:30:00+05:30,99.923,99.988,99.906,4636733491442450694,1849,1,0.0
521,2023-07-17 05:30:00+05:30,99.946,100.176,99.74,4636729691530265100,23668,7,0.0
522,2023-07-18 05:30:00+05:30,99.893,100.094,99.54,4636733984023659938,29887,12,0.0
523,2023-07-19 05:30:00+05:30,99.952,100.532,99.91,4636754461328215638,29714,2,0.0
524,2023-07-20 05:30:00+05:30,100.244,100.96,100.006,4636791193812676379,28710,6,0.0
525,2023-07-21 05:30:00+05:30,100.764,101.18,100.708,4636812867385883099,26292,23,0.0
526,2023-07-23 05:30:00+05:30,101.059,101.095,100.974,4636813993285789942,1776,13,0.0
527,2023-07-24 05:30:00+05:30,101.089,101.425,100.871,4636836159440205906,29412,0,0.0
528,2023-07-25 05:30:00+05:30,101.404,101.639,101.171,4636829263303276495,25729,11,0.0
529,2023-07-26 05:30:00+05:30,101.307,101.427,100.844,4636813782179557409,30642,0,0.0
530,2023-07-27 05:30:00+05:30,101.087,101.834,100.536,4636855792319831474,36574,15,0.0
531,2023-07-28 05:30:00+05:30,101.684,102.04,101.311,4636856003426064007,38165,21,0.0
532,2023-07-30 05:30:00+05:30,101.671,101.671,101.576,4636849951714064728,2058,12,0.0
533,2023-07-31 05:30:00+05:30,101.599,101.892,101.511,4636869795699922829,28975,12,0.0
534,2023-08-01 05:30:00+05:30,101.883,102.424,101.837,4636877747368014905,29308,15,0.0
535,2023-08-02 05:30:00+05:30,101.995,102.772,101.995,4636918842714614661,31242,6,0.0
536,2023-08-03 05:30:00+05:30,102.579,102.832,102.35,4636909413302894854,33233,5,0.0
537,2023-08-04 05:30:00+05:30,102.446,102.61,101.728,4636877465893038195,29221,22,0.0
538,2023-08-06 05:30:00+05:30,101.944,102.077,101.934,4636881617648944677,2293,1,0.0
539,2023-08-07 05:30:00+05:30,102.05,102.373,101.951,4636883306498804941,24091,15,0.0
540,2023-08-08 05:30:00+05:30,102.076,102.796,102.058,4636914409483731468,28299,11,0.0
541,2023-08-09 05:30:00+05:30,102.516,102.57,102.279,4636910961415266763,25667,3,0.0
542,2023-08-10 05:30:00+05:30,102.467,102.642,101.749,4636922501889311900,30325,13,0.0
543,2023-08-11 05:30:00+05:30,102.632,102.899,102.404,4636937912644286808,25994,22,0.0
544,2023-08-13 05:30:00+05:30,102.774,102.898,102.767,4636938827437961118,1728,14,0.0
545,2023-08-14 05:30:00+05:30,102.863,103.453,102.757,4636957334417679843,28138,7,0.0
546,2023-08-15 05:30:00+05:30,103.127,103.273,102.797,4636962612073493168,31260,1,0.0
547,2023-08-16 05:30:00+05:30,103.202,103.515,102.93,4636981259790700249,30096,1,0.0
548,2023-08-17 05:30:00+05:30,103.467,103.588,103.041,4636975911766142747,31026,14,0.0
549,2023-08-18 05:30:00+05:30,103.388,103.671,103.212,4636978093197212254,27353,20,0.0
550,2023-08-20 05:30:00+05:30,103.403,103.419,103.342,4636975700659910214,1748,14,0.0
551,2023-08-21 05:30:00+05:30,103.386,103.495,103.127,4636970352635352711,26795,11,0.0
552,2023-08-22 05:30:00+05:30,103.312,103.706,102.999,4636989000352559792,26459,11,0.0
553,2023-08-23 05:30:00+05:30,103.576,103.971,103.278,4636972252591445508,29540,6,0.0
554,2023-08-24 05:30:00+05:30,103.338,104.122,103.261,4637024184724648624,27510,10,0.0
555,2023-08-25 05:30:00+05:30,104.078,104.437,103.723,4637030799386601325,27970,22,0.0
556,2023-08-27 05:30:00+05:30,104.159,104.209,104.119,4637030025330415370,2232,13,0.0
557,2023-08-28 05:30:00+05:30,104.16,104.17,103.901,4637014403469207929,23702,9,0.0
558,2023-08-29 05:30:00+05:30,103.938,104.347,103.353,4636986818921490285,28431,7,0.0
559,2023-08-30 05:30:00+05:30,103.545,103.689,102.916,4636956419624005534,28393,3,0.0
560,2023-08-31 05:30:00+05:30,103.113,103.73,102.997,4636992237314791965,27908,12,0.0
561,2023-09-01 05:30:00+05:30,103.623,104.28,103.256,4637036921467344781,27464,22,0.0
562,2023-09-03 05:30:00+05:30,104.239,104.27,104.221,4637034880773763629,1153,9,0.0
563,2023-09-04 05:30:00+05:30,104.229,104.255,104.012,4637028899430508528,16603,13,0.0
564,2023-09-05 05:30:00+05:30,104.144,104.896,104.093,4637071050308270948,26874,7,0.0
565,2023-09-06 05:30:00+05:30,104.743,105.026,104.579,4637079001976363024,27832,10,0.0
566,2023-09-07 05:30:00+05:30,104.857,105.15,104.791,4637091949825291715,25195,11,0.0
567,2023-09-08 05:30:00+05:30,105.039,105.086,104.648,4637092090562780070,24332,20,0.0
568,2023-09-10 05:30:00+05:30,104.937,104.941,104.799,4637077946445200359,2474,5,0.0
569,2023-09-11 05:30:00+05:30,104.84,104.881,104.402,4637058243196830614,26839,8,0.0
570,2023-09-12 05:30:00+05:30,104.561,104.909,104.399,4637059580202969989,25141,7,0.0
571,2023-09-13 05:30:00+05:30,104.58,104.977,104.501,4637070416989573349,29252,10,0.0
572,2023-09-14 05:30:00+05:30,104.734,105.423,104.549,4637117141835707318,28325,10,0.0
573,2023-09-15 05:30:00+05:30,105.398,105.404,105.068,4637111160492452217,25219,22,0.0
574,2023-09-17 05:30:00+05:30,105.279,105.302,105.243,4637106797630313202,1285,14,0.0
575,2023-09-18 05:30:00+05:30,105.251,105.352,105.009,4637094271993849577,22009,3,0.0
576,2023-09-19 05:30:00+05:30,105.074,105.196,104.794,4637096946006128329,22593,7,0.0
577,2023-09-20 05:30:00+05:30,105.111,105.457,104.652,4637120378797939491,27902,9,0.0
578,2023-09-21 05:30:00+05:30,105.443,105.73,105.266,4637116086304544653,29698,1,0.0
579,2023-09-22 05:30:00+05:30,105.384,105.774,105.305,4637130089684636008,26278,12,0.0
580,2023-09-24 05:30:00+05:30,105.517,105.583,105.515,4637129315628450054,1620,0,0.0
581,2023-09-25 05:30:00+05:30,105.572,106.093,105.505,4637155422432539967,23718,11,0.0
582,2023-09-26 05:30:00+05:30,105.942,106.251,105.851,4637173788674770338,26005,1,0.0
583,2023-09-27 05:30:00+05:30,106.203,106.829,106.153,4637205947190859530,28723,11,0.0
584,2023-09-28 05:30:00+05:30,106.657,106.744,106.009,4637170270237561455,30745,5,0.0
585,2023-09-29 05:30:00+05:30,106.152,106.234,105.643,4637169918393840566,30117,22,0.0
586,2023-10-01 05:30:00+05:30,106.199,106.3,106.15,4637176392318304911,2172,0,0.0
587,2023-10-02 05:30:00+05:30,106.236,107.048,106.029,4637230083670112469,28620,10,0.0
588,2023-10-03 05:30:00+05:30,107.002,107.341,106.788,4637234165057274774,33837,7,0.0
589,2023-10-04 05:30:00+05:30,107.061,107.236,106.496,4637212702590300586,33014,11,0.0
590,2023-10-05 05:30:00+05:30,106.758,106.849,106.309,4637184836567606231,31651,9,0.0
591,2023-10-06 05:30:00+05:30,106.36,106.969,105.937,4637164640738027241,30662,19,0.0
592,2023-10-08 05:30:00+05:30,106.256,106.343,106.204,4637174492362212114,2858,14,0.0
593,2023-10-09 05:30:00+05:30,106.212,106.592,105.935,4637155774276260856,28141,8,0.0
594,2023-10-10 05:30:00+05:30,105.947,106.238,105.648,4637142333846122922,32803,6,0.0
595,2023-10-11 05:30:00+05:30,105.756,106.003,105.546,4637135859921658577,31287,4,0.0
596,2023-10-12 05:30:00+05:30,105.665,106.592,105.521,4637194899298023637,29320,3,0.0
597,2023-10-13 05:30:00+05:30,106.505,106.778,106.277,4637205665715882820,28609,22,0.0
598,2023-10-15 05:30:00+05:30,106.606,106.625,106.509,4637198347366488343,2531,0,0.0
599,2023-10-16 05:30:00+05:30,106.55,106.603,106.167,4637176814530769977,25780,8,0.0
